"County" "State" "pop_estimate" "over65" "females_percent" "white" "births" "deaths" "high_scl" "bachelor" "household_size" "per_capita_inc" "perc_poverty" "unemployment_rate" "govt_employed" "Birth_factor" "Poverty_factor"
"2679" "Mason" "Texas" 3882 22.59144771 51.4 98.42864503 1.210716126 1.133436373 78.1 18.7 2.31 20931 14.5 3 7.444616177 "Medium" "Medium"
"2680" "Matagorda" "Texas" 37265 14.10438749 50 83.57708305 1.475915739 0.88286596 70.3 12.5 2.7 15709 22.5 7 6.958271837 "Medium" "High"
"2681" "Maverick" "Texas" 52279 11.0044186 52.2 96.185849 2.031408405 0.573844182 42.1 9.1 3.6 8758 29.8 11 9.90263777 "High" "High"
"2682" "McCulloch" "Texas" 7943 19.12375677 52.5 96.34898653 1.39745688 1.246380461 70.5 14 2.47 14579 22.8 4.1 8.699483822 "Medium" "High"
"2683" "McLennan" "Texas" 230213 12.40242732 51.1 81.69086889 1.505996621 0.880923319 76.6 19.1 2.59 17174 19.1 4.6 7.428338104 "Medium" "High"
"2684" "McMullen" "Texas" 837 21.14695341 50.4 97.72998805 1.314217443 0.955794504 74.7 16.2 2.4 22258 13.9 5.6 13.62007168 "Medium" "Medium"
"2685" "Medina" "Texas" 44275 12.89892716 49 94.97684924 1.334839074 0.749858837 72.2 13.3 2.91 15210 14.8 5.1 6.798418972 "Medium" "Medium"
"2686" "Menard" "Texas" 2138 24.8362956 50.1 96.86623012 0.98222638 1.824134705 69.4 17.2 2.34 15987 21.5 4.4 10.80449018 "Low" "High"
"2687" "Midland" "Texas" 129494 11.70092823 51.3 90.06903795 1.613202156 0.707368681 79.2 24.8 2.68 20369 14.4 2.9 6.586405548 "High" "Medium"
"2688" "Milam" "Texas" 24892 16.7644223 50.5 87.71091114 1.373935401 1.345813916 70.9 11.6 2.59 16920 17.3 5.5 5.913546521 "Medium" "Medium"
"2689" "Mills" "Texas" 4998 21.94877951 49 97.07883153 0.960384154 1.520608243 76.7 20.2 2.43 15914 17.2 4 8.583433373 "Low" "Medium"
"2690" "Mitchell" "Texas" 9230 12.91440953 37.4 83.71614301 1.27843987 0.964247021 71.7 10.4 2.48 14043 24.6 5.4 13.58613218 "Medium" "High"
"2691" "Montague" "Texas" 19716 19.99391357 51.8 96.64739298 1.257861635 1.19192534 73 11.3 2.41 17115 14.9 3.7 7.501521607 "Medium" "Medium"
"2692" "Montgomery" "Texas" 429953 9.52545976 50.2 91.29439729 1.385035108 0.598670087 81.6 25.3 2.83 24544 9.8 4.3 4.959844448 "Medium" "Low"
"2693" "Moore" "Texas" 20308 10.26196573 49.5 95.05613551 1.989363798 0.714004333 62.1 11 2.94 15214 12.5 3.1 7.903289344 "High" "Medium"
"2694" "Morris" "Texas" 12915 19.15602013 52.2 74.88966318 1.308555943 1.401471158 73.7 11.2 2.47 15612 17.5 6.2 5.691056911 "Medium" "Medium"
"2695" "Motley" "Texas" 1260 24.6031746 49.9 93.88888889 1.349206349 1.825396825 73.5 14.7 2.35 16584 16 4.1 9.761904762 "Medium" "Medium"
"2696" "Nacogdoches" "Texas" 62768 12.0093041 51.6 80.91224828 1.578829977 0.896953862 73.7 22.8 2.49 15437 21.1 4.4 8.660463931 "High" "High"
"2697" "Navarro" "Texas" 49456 14.34810741 50.3 81.46635393 1.502345519 1.06357166 71.7 12.2 2.65 15266 18.5 5.6 7.645179554 "Medium" "Medium"
"2698" "Newton" "Texas" 13752 15.14688773 49.1 76.70884235 0.952588714 1.221640489 68.7 5.5 2.59 13381 20.4 7.3 5.744618965 "Low" "High"
"2699" "Nolan" "Texas" 14879 15.92176894 51 91.86101216 1.539081928 1.203037839 69.9 13.2 2.48 14077 21.8 3.9 12.15807514 "Medium" "High"
"2700" "Nueces" "Texas" 322077 11.76706191 51.2 92.04879578 1.541246348 0.770312689 74.4 18.8 2.79 17036 19.1 4.6 9.606087985 "Medium" "High"
"2701" "Ochiltree" "Texas" 9613 10.97472173 49.7 96.73358993 1.830854052 0.780193488 69.2 16.1 2.74 16707 12.7 2.7 7.916363258 "High" "Medium"
"2702" "Oldham" "Texas" 2062 11.1542192 47.6 94.4228904 0.9214355 0.678952473 80.5 19.4 2.61 14806 22.1 4.2 14.45198836 "Low" "High"
"2703" "Orange" "Texas" 83022 14.14083014 51 88.19830888 1.318927513 1.00214401 79 11 2.65 17554 13.5 6.6 5.596107056 "Medium" "Medium"
"2704" "PaloPinto" "Texas" 27486 15.48060831 50.6 94.67001383 1.629920687 1.142399767 71.2 12.1 2.52 15454 15.9 4.3 7.19639089 "High" "Medium"
"2705" "Panola" "Texas" 23084 15.68618957 51.4 80.38901404 1.338589499 1.212961359 75.9 13.4 2.53 15439 13.7 3.9 5.752902443 "Medium" "Medium"
"2706" "Parker" "Texas" 111776 11.05961924 49.3 94.89872602 1.188090467 0.716611795 80.5 18.6 2.75 20305 8.6 4.5 4.537646722 "Medium" "Low"
"2707" "Parmer" "Texas" 9224 13.72506505 50.2 95.26235906 2.10320902 0.878143972 60.7 13.4 2.97 14184 15.3 3.4 9.876409367 "High" "Medium"
"2708" "Pecos" "Texas" 16307 11.87220212 44.3 92.43269761 1.33071687 0.680689275 62.5 12.9 2.86 12212 21.8 4.8 11.62690869 "Medium" "High"
"2709" "Polk" "Texas" 46144 19.32862344 48.7 84.20813107 1.148578363 1.386962552 70 10.4 2.5 15834 17.5 6.4 6.48621706 "Medium" "Medium"
"2710" "Potter" "Texas" 120918 12.04369904 49.3 84.43738732 1.864073174 0.973386923 71.1 13.5 2.61 14947 25.3 4.1 11.31676012 "High" "High"
"2711" "Presidio" "Texas" 7467 17.16887639 52.6 97.54921655 2.129369225 0.602651667 44.7 11.7 2.85 9558 24.4 10.8 11.45038168 "High" "High"
"2712" "Rains" "Texas" 11204 19.07354516 50 94.79650125 1.03534452 1.008568368 73 11.5 2.51 16442 15.6 5.2 4.462691896 "Low" "Medium"
"2713" "Randall" "Texas" 114546 10.14963421 50.9 93.9491558 1.319993714 0.721107677 89.5 28.9 2.49 21840 9 3.1 4.449740716 "Medium" "Low"
"2714" "Reagan" "Texas" 3086 11.89241737 49.7 94.52365522 1.263771873 0.842514582 63 9.2 2.96 13174 9.6 2 12.022035 "Medium" "Low"
"2715" "Real" "Texas" 2875 23.82608696 51.3 97.46086957 1.391304348 1.565217391 73 17.3 2.38 14321 20 3.9 8.869565217 "Medium" "High"
"2716" "RedRiver" "Texas" 12955 19.88421459 52.1 80.90312621 1.235044384 1.566962563 65.7 9 2.41 15058 19 6.6 6.962562717 "Medium" "High"
"2717" "Reeves" "Texas" 11062 15.79280419 46.6 95.4800217 1.708551799 0.940155487 46.6 8 2.93 10811 36.5 6 13.98481287 "High" "High"
"2718" "Refugio" "Texas" 7350 18.62585034 51.5 91.00680272 1.238095238 1.197278912 68.1 11.6 2.59 15481 16 3.9 9.700680272 "Medium" "Medium"
"2719" "Roberts" "Texas" 833 13.68547419 49.2 97.83913565 2.040816327 1.080432173 90 25.4 2.45 20923 6.2 2.4 12.484994 "High" "Low"
"2720" "Robertson" "Texas" 15693 16.75269228 51.9 75.46039636 1.382782132 1.217103167 68.1 12.7 2.55 14714 19.7 4.9 6.913910661 "Medium" "High"
"2721" "Rockwall" "Texas" 77633 8.627774271 49.9 89.63842696 1.281671454 0.493346901 86.7 32.7 2.92 28573 5 4.6 4.358971056 "Medium" "Low"
"2722" "Runnels" "Texas" 10273 19.95522243 51.9 95.71692787 1.304390149 1.333592913 68.9 13.1 2.53 13577 19.3 4.8 8.478535968 "Medium" "High"
"2723" "Rusk" "Texas" 48887 14.82398184 48.6 79.88626833 1.470738642 1.043222124 74.1 12.8 2.57 16674 13.1 4.4 5.289749831 "Medium" "Medium"
"2724" "Sabine" "Texas" 10062 25.76028623 52 88.46153846 0.983899821 1.659709799 72.5 10.6 2.31 15821 16.1 9.2 5.913337309 "Low" "Medium"
"2725" "SanAugustine" "Texas" 8576 23.23927239 52.2 71.875 1.410914179 1.399253731 69.9 11.8 2.43 15548 21.8 6.4 5.293843284 "Medium" "High"
"2726" "SanJacinto" "Texas" 24882 16.622458 50.2 85.72462021 1.117273531 1.061007958 72.6 9.6 2.55 16144 17.2 5.8 4.284221526 "Medium" "Medium"
"2727" "SanPatricio" "Texas" 68399 12.5981374 51 94.34494656 1.662305004 0.72661881 71.4 13 2.97 15425 17.4 5.4 9.688738139 "High" "Medium"
"2728" "SanSaba" "Texas" 5881 18.97636456 47.6 94.98384628 1.173269852 1.292297228 70 15.8 2.45 15309 19.8 5.5 9.879272233 "Medium" "High"
"2729" "Schleicher" "Texas" 2819 17.9851011 50.6 96.66548421 1.986520043 1.312522171 60.4 17.6 2.59 15969 14.7 3.5 9.258602341 "High" "Medium"
"2730" "Scurry" "Texas" 15973 14.4556439 47.5 91.68597007 1.665310211 0.907781882 72.3 11.8 2.55 15871 17.2 4.1 9.885431666 "High" "Medium"
"2731" "Shackelford" "Texas" 3105 19.96779388 52.3 97.77777778 1.513687601 1.030595813 79.2 20.8 2.49 16341 12.3 2.7 8.276972625 "Medium" "Medium"
"2732" "Shelby" "Texas" 26529 15.2889291 51.5 78.98526141 1.492706095 1.074296053 68.9 12.2 2.59 15186 18.8 4.9 5.314938369 "Medium" "High"
"2733" "Sherman" "Texas" 2930 12.08191126 49.1 96.92832765 1.092150171 0.887372014 73.1 20.4 2.76 17210 14.1 3.7 11.16040956 "Medium" "Medium"
"2734" "Smith" "Texas" 201277 14.68424112 51.7 79.48647883 1.515324652 0.833180145 80.2 22.5 2.59 19072 14.3 5 6.540240564 "Medium" "Medium"
"2735" "Somervell" "Texas" 7942 15.55023923 50.1 96.85217829 1.246537396 0.944346512 78 17.2 2.73 18367 9.2 4.5 8.952404936 "Medium" "Low"
"2736" "Starr" "Texas" 62249 10.13028322 51.9 98.33410978 2.361483719 0.44659352 34.7 6.9 3.69 7069 32.2 11.9 8.84512201 "High" "High"
"2737" "Stephens" "Texas" 9585 17.27699531 48.3 94.35576421 1.387584768 1.022430882 72.3 13.4 2.47 15475 18.5 3.7 8.283776734 "Medium" "Medium"
"2738" "Sterling" "Texas" 1257 17.10421639 51.6 99.12490056 0.397772474 0.954653938 70.4 17.1 2.67 16972 12.8 2.8 12.49005569 "Low" "Medium"
"2739" "Stonewall" "Texas" 1440 24.375 51 92.77777778 1.875 1.736111111 71 12.6 2.32 16094 17.5 3.4 17.70833333 "High" "Medium"
"2740" "Sutton" "Texas" 4270 11.264637 49.7 98.52459016 1.428571429 0.702576112 64.4 13 2.67 17105 14.1 2 10.91334895 "Medium" "Medium"
"2741" "Swisher" "Texas" 7654 17.36347008 47.1 90.16200679 1.711523386 1.084400314 69.7 16.2 2.65 14326 18.6 4.5 10.06009929 "High" "Medium"
"2742" "Tarrant" "Texas" 1750091 8.523213936 50.1 78.82972943 1.660713643 0.575227231 81.3 26.6 2.67 22548 12.2 4.9 5.902035951 "High" "Medium"
"2743" "Taylor" "Texas" 126791 13.58377172 51.6 88.86119677 1.698070052 0.925933229 81.2 22.5 2.54 17176 16.2 3.8 12.51114038 "High" "Medium"
"2744" "Terrell" "Texas" 924 20.23809524 50.9 96.1038961 1.298701299 1.19047619 70.9 19 2.44 13721 20.1 5.8 15.36796537 "Medium" "High"
"2745" "Terry" "Texas" 12135 15.03914297 48 92.28677379 1.738772147 0.857025134 62.5 9.5 2.76 13860 23.1 4.4 9.295426452 "High" "High"
"2746" "Throckmorton" "Texas" 1667 26.33473305 49.7 98.74025195 1.079784043 1.199760048 77.4 18.2 2.39 17719 14.4 3.4 11.57768446 "Medium" "Medium"
"2747" "Titus" "Texas" 29793 12.50293693 49.7 87.42657671 2.138086128 0.805558353 65.5 13.2 2.88 15501 14.6 4.3 10.47225858 "High" "Medium"
"2748" "TomGreen" "Texas" 107864 13.84706668 51.7 92.04646592 1.551954313 0.865905214 76.2 19.5 2.52 17325 15.9 4.1 10.95731662 "Medium" "Medium"
"2749" "Travis" "Texas" 998543 6.711779062 48.2 82.95396393 1.61805751 0.436536033 84.7 40.6 2.47 25883 14.6 4.2 12.33847716 "High" "Medium"
"2750" "Trinity" "Texas" 14147 23.53855941 52.2 86.61200254 1.314766382 1.548031385 73.1 9.4 2.38 15472 18 5.6 5.244928253 "Medium" "Medium"
"2751" "Tyler" "Texas" 20470 18.49047386 48.2 86.25305325 1.187103078 1.123595506 71.9 9.7 2.48 15367 18.8 6.1 8.759159746 "Medium" "High"
"2752" "Upshur" "Texas" 38331 15.06874331 51 87.87143565 1.330515771 0.996582401 76.3 11.1 2.62 16358 15.7 4.3 4.844642717 "Medium" "Medium"
"2753" "Upton" "Texas" 3149 16.73547158 50.7 95.1413147 1.55604954 1.111463957 67.1 11.8 2.68 14274 15.2 3.1 14.09971419 "Medium" "Medium"
"2754" "Uvalde" "Texas" 26461 13.76743131 51.5 96.56853482 1.674161974 0.78228336 59.6 13.8 2.96 12557 23.9 5.9 10.35864102 "High" "High"
"2755" "ValVerde" "Texas" 48053 16.23832019 51.5 95.93365659 1.922876824 0.65552619 58.7 14.1 3.11 12096 25 6 13.01063409 "High" "High"
"2756" "VanZandt" "Texas" 52197 17.70791425 50.6 94.25254325 1.22037665 1.105427515 72 11.6 2.59 16930 14.3 4.4 4.718661992 "Medium" "Medium"
"2757" "Victoria" "Texas" 86755 13.39980405 51.3 90.94461414 1.633335254 0.857587459 76.2 16.2 2.75 18379 16.2 3.9 7.628378768 "High" "Medium"
"2758" "Walker" "Texas" 64212 10.07288357 40 74.60443531 0.987354389 0.660312714 73.1 18.3 2.44 14508 24.2 5.3 19.02759609 "Low" "High"
"2759" "Waller" "Texas" 35995 10.14307543 50.1 71.65439644 1.614113071 0.730657036 73.9 16.8 2.79 16338 19.9 5 10.12640645 "High" "High"
"2760" "Ward" "Texas" 10549 15.10095744 50.6 91.50630392 1.412456157 1.090150725 70.1 12.4 2.66 14393 15.6 3.9 9.811356527 "Medium" "Medium"
"2761" "Washington" "Texas" 32244 17.86378861 51.2 79.8846297 1.287061159 1.045155688 72.1 19 2.53 17384 14.3 4.1 9.266840342 "Medium" "Medium"
"2762" "Webb" "Texas" 236941 8.413908948 51.8 97.72052958 2.510751622 0.435973512 53 13.9 3.75 10759 30.4 5.4 8.805145585 "High" "High"
"2763" "Wharton" "Texas" 40791 13.98347675 50.7 83.39584712 1.630261577 0.909514354 69.8 14.3 2.73 15388 15.7 4.5 7.7590645 "High" "Medium"
"2764" "Wheeler" "Texas" 4772 18.33612741 51.1 93.33612741 1.466890193 1.487845767 72 13 2.39 16083 12.3 2.5 11.96563286 "Medium" "Medium"
"2765" "Wichita" "Texas" 127321 12.9829329 49.4 83.50154334 1.514282797 1.013972558 79.9 20 2.49 16965 15.6 5 14.44302197 "Medium" "Medium"
"2766" "Wilbarger" "Texas" 13782 15.36787114 50.1 87.28776665 1.560005805 1.291539689 72.2 17.1 2.48 16520 15.4 3.7 23.98055435 "High" "Medium"
"2767" "Willacy" "Texas" 20600 13.01456311 48.8 95.99029126 1.878640777 0.567961165 48.7 7.5 3.4 9421 39.9 9 6.495145631 "High" "High"
"2768" "Williamson" "Texas" 394193 8.697516191 49.9 86.93330424 1.478463595 0.394984183 88.8 33.6 2.82 24547 6 4.6 5.040678043 "Medium" "Low"
"2769" "Wilson" "Texas" 40398 11.82236744 50.2 95.49482648 1.178276152 0.74756176 73.8 12.8 2.89 17253 11 4.7 5.688400416 "Medium" "Medium"
"2770" "Winkler" "Texas" 6675 12.14981273 50.7 95.89513109 1.647940075 1.243445693 60.3 10.5 2.72 13725 15.8 3.9 9.033707865 "High" "Medium"
"2771" "Wise" "Texas" 58506 11.63470413 49.6 95.78846614 1.304139746 0.738385807 76.1 13 2.77 17729 9.7 4.4 5.883157283 "Medium" "Low"
"2772" "Wood" "Texas" 42461 22.32401498 50.8 92.24935823 1.029179718 1.215232802 76.3 14.5 2.42 17702 11.9 5.1 4.750241398 "Low" "Medium"
"2773" "Yoakum" "Texas" 7571 11.9667151 51.1 96.90925901 1.624620262 0.567956677 59.4 10.2 2.95 14504 17 3.1 10.6987188 "High" "Medium"
"2774" "Young" "Texas" 17579 18.48227999 51.8 95.56857614 1.513169122 1.592809602 72.1 14.4 2.45 16710 16.8 3.6 8.276921327 "Medium" "Medium"
"2775" "Zapata" "Texas" 13847 13.25196794 50.8 98.39676464 2.245973857 0.462193977 53.1 8.7 3.1 10486 33.4 5.6 8.34837871 "High" "High"
"2776" "Zavala" "Texas" 11678 11.17485871 50.8 97.61089228 1.960952218 0.813495462 43.4 7.6 3.28 10034 40.7 10.8 7.878061312 "High" "High"
